   Radius        Density      Pressure     
3.710000e+05  2.585706e+15  2.343786e+36
3.720000e+05  2.582933e+15  2.336253e+36
3.730000e+05  2.580156e+15  2.328725e+36
3.740000e+05  2.577374e+15  2.321200e+36
3.750000e+05  2.574587e+15  2.313679e+36
3.760000e+05  2.571796e+15  2.306163e+36
3.770000e+05  2.569000e+15  2.298650e+36
3.780000e+05  2.566200e+15  2.291141e+36
3.790000e+05  2.563395e+15  2.283637e+36
3.800000e+05  2.560586e+15  2.276137e+36
3.810000e+05  2.557772e+15  2.268642e+36
3.820000e+05  2.554954e+15  2.261151e+36
3.830000e+05  2.552131e+15  2.253665e+36
3.840000e+05  2.549304e+15  2.246184e+36
3.850000e+05  2.546473e+15  2.238707e+36
3.860000e+05  2.543637e+15  2.231236e+36
3.870000e+05  2.540796e+15  2.223769e+36
3.880000e+05  2.537951e+15  2.216308e+36
3.890000e+05  2.535102e+15  2.208852e+36
3.900000e+05  2.532248e+15  2.201401e+36
3.910000e+05  2.529390e+15  2.193956e+36
3.920000e+05  2.526528e+15  2.186516e+36
3.930000e+05  2.523661e+15  2.179081e+36
3.940000e+05  2.520790e+15  2.171652e+36
3.950000e+05  2.517915e+15  2.164229e+36
3.960000e+05  2.515035e+15  2.156812e+36
3.970000e+05  2.512151e+15  2.149401e+36
3.980000e+05  2.509262e+15  2.141996e+36
3.990000e+05  2.506370e+15  2.134596e+36
4.000000e+05  2.503473e+15  2.127203e+36
4.010000e+05  2.500572e+15  2.119816e+36
4.020000e+05  2.497666e+15  2.112436e+36
4.030000e+05  2.494757e+15  2.105062e+36
4.040000e+05  2.491843e+15  2.097694e+36
4.050000e+05  2.488925e+15  2.090333e+36
4.060000e+05  2.486002e+15  2.082979e+36
4.070000e+05  2.483076e+15  2.075631e+36
4.080000e+05  2.480145e+15  2.068291e+36
4.090000e+05  2.477210e+15  2.060957e+36
4.100000e+05  2.474271e+15  2.053630e+36
4.110000e+05  2.471328e+15  2.046310e+36
4.120000e+05  2.468381e+15  2.038997e+36
4.130000e+05  2.465429e+15  2.031692e+36
4.140000e+05  2.462473e+15  2.024393e+36
4.150000e+05  2.459514e+15  2.017103e+36
4.160000e+05  2.456550e+15  2.009819e+36
4.170000e+05  2.453582e+15  2.002543e+36
4.180000e+05  2.450610e+15  1.995275e+36
4.190000e+05  2.447634e+15  1.988014e+36
4.200000e+05  2.444653e+15  1.980761e+36
4.210000e+05  2.441669e+15  1.973516e+36
4.220000e+05  2.438681e+15  1.966279e+36
4.230000e+05  2.435688e+15  1.959050e+36
4.240000e+05  2.432692e+15  1.951828e+36
4.250000e+05  2.429691e+15  1.944615e+36
4.260000e+05  2.426687e+15  1.937410e+36
4.270000e+05  2.423679e+15  1.930213e+36
4.280000e+05  2.420666e+15  1.923025e+36
4.290000e+05  2.417650e+15  1.915845e+36
4.300000e+05  2.414629e+15  1.908673e+36
4.310000e+05  2.411605e+15  1.901510e+36
4.320000e+05  2.408576e+15  1.894356e+36
4.330000e+05  2.405544e+15  1.887210e+36
4.340000e+05  2.402508e+15  1.880073e+36
4.350000e+05  2.399468e+15  1.872945e+36
4.360000e+05  2.396423e+15  1.865825e+36
4.370000e+05  2.393375e+15  1.858714e+36
4.380000e+05  2.390323e+15  1.851613e+36
4.390000e+05  2.387267e+15  1.844520e+36
4.400000e+05  2.384208e+15  1.837437e+36
4.410000e+05  2.381144e+15  1.830363e+36
