              t                       Ixx                      Iyy                      Izz           
    2.829996881857184e+00     5.446246595081090e+44     5.446246723098947e+44     5.094331092947001e+44
    2.839995701913710e+00     5.435161595056666e+44     5.435161722929272e+44     5.083786513793455e+44
    2.849996794277915e+00     5.424037659442174e+44     5.424037786638018e+44     5.073277156856762e+44
    2.859992784350483e+00     5.412882482447789e+44     5.412882609020323e+44     5.062809170005753e+44
    2.869999799864346e+00     5.401677725168848e+44     5.401677852026548e+44     5.052364305109725e+44
    2.879994735059523e+00     5.390449210914131e+44     5.390449337840110e+44     5.041965565310249e+44
    2.889993081924424e+00     5.379179435341041e+44     5.379179561841025e+44     5.031595442716954e+44
    2.899995595120710e+00     5.367867623107690e+44     5.367867749661320e+44     5.021252334743791e+44
    2.909993351964634e+00     5.356524781252506e+44     5.356524906889283e+44     5.010945753912756e+44
    2.919993271589415e+00     5.345144633601254e+44     5.345144759379115e+44     5.000669358593720e+44
    2.929995059238387e+00     5.333729449137353e+44     5.333729574499365e+44     4.990424765638020e+44
    2.939998528923394e+00     5.322281607921237e+44     5.322281732067738e+44     4.980213805601644e+44
    2.949996528095831e+00     5.310811825406372e+44     5.310811950001372e+44     4.970045811864899e+44
    2.959995940643137e+00     5.299315006399550e+44     5.299315130697979e+44     4.959916217676105e+44
    2.969996462411231e+00     5.287794548624501e+44     5.287794672782319e+44     4.949828175730472e+44
    2.979997792136522e+00     5.276254194435693e+44     5.276254317856369e+44     4.939785258070973e+44
    2.989999536378169e+00     5.264697748065251e+44     5.264697871281961e+44     4.929791206969573e+44
    2.999994754691253e+00     5.253136169359858e+44     5.253136292828315e+44     4.919855944783585e+44
    3.009996011557281e+00     5.241558934710016e+44     5.241559056822229e+44     4.909971056582990e+44
    3.019996169184638e+00     5.229978863242852e+44     5.229978985023862e+44     4.900148293521396e+44
    3.029994666262444e+00     5.218401348589459e+44     5.218401470680520e+44     4.890392957253181e+44
    3.039997065078686e+00     5.206824635602949e+44     5.206824756690060e+44     4.880704341884844e+44
    3.049996267592894e+00     5.195261543704743e+44     5.195261665132164e+44     4.871093809887843e+44
    3.059997378544603e+00     5.183710577825557e+44     5.183710698424418e+44     4.861560656665829e+44
    3.069999290399595e+00     5.172177195798542e+44     5.172177316600508e+44     4.852109743874659e+44
    3.079995092386669e+00     5.160673333461393e+44     5.160673453392122e+44     4.842750918786063e+44
    3.089995738126194e+00     5.149190027302618e+44     5.149190147603014e+44     4.833476797858303e+44
    3.099994715553983e+00     5.137738164989408e+44     5.137738284423958e+44     4.824295952020819e+44
    3.109997318248263e+00     5.126314730586940e+44     5.126314849650159e+44     4.815205454420534e+44
    3.119997411238601e+00     5.114929453545739e+44     5.114929572652650e+44     4.806212349191345e+44
    3.129994790481244e+00     5.103584951258853e+44     5.103585069940842e+44     4.797317649522918e+44
    3.139994989970702e+00     5.092276972037859e+44     5.092277090069460e+44     4.788516836189730e+44
    3.149998086953357e+00     5.081007222275876e+44     5.081007340238022e+44     4.779809957675611e+44
    3.159998727005078e+00     5.069783135729959e+44     5.069783253485472e+44     4.771201299341912e+44
    3.169997042798265e+00     5.058605635637154e+44     5.058605752408253e+44     4.762689943409172e+44
    3.179998668716102e+00     5.047469292194186e+44     5.047469408938758e+44     4.754270097433688e+44
    3.189998690286463e+00     5.036380255687685e+44     5.036380371671108e+44     4.745944666181454e+44
    3.199997398076566e+00     5.025338682737640e+44     5.025338798773676e+44     4.737711900091190e+44
    3.209994997904348e+00     5.014344644910875e+44     5.014344760122681e+44     4.729570094685270e+44
    3.219996535736856e+00     5.003392818595337e+44     5.003392934614216e+44     4.721513670396948e+44
    3.229996771008809e+00     4.992489089593183e+44     4.992489204556771e+44     4.713545477670421e+44
    3.239995386154532e+00     4.981633736253082e+44     4.981633850757739e+44     4.705664300120192e+44
    3.249996599465897e+00     4.970822046244826e+44     4.970822160927922e+44     4.697865370378277e+44
    3.259999558946900e+00     4.960054692645883e+44     4.960054806149400e+44     4.690147883287775e+44
    3.269998707946747e+00     4.949337238096930e+44     4.949337351803270e+44     4.682514601427105e+44
    3.279998152899982e+00     4.938664710382910e+44     4.938664823751268e+44     4.674960796898069e+44
    3.289995603179972e+00     4.928038087561416e+44     4.928038201080026e+44     4.667485510205628e+44
    3.299999662435709e+00     4.917445798579682e+44     4.917445911278095e+44     4.660079041685044e+44
    3.309996869580396e+00     4.906901982246579e+44     4.906902095000880e+44     4.652750838612170e+44
    3.319998200860280e+00     4.896395365507370e+44     4.896395476781579e+44     4.645492677225251e+44
    3.329998958414599e+00     4.885930600865456e+44     4.885930712590661e+44     4.638307323247106e+44
    3.339998278641038e+00     4.875507890006290e+44     4.875508001666194e+44     4.631194350686082e+44
    3.349999157392661e+00     4.865123197288519e+44     4.865123307763096e+44     4.624150423569726e+44
    3.359999980322238e+00     4.854777212503707e+44     4.854777322809273e+44     4.617175433703467e+44
