t,BTotal_v_avg
7.600,     2.800581962345580e+17
7.650,     2.797980893138112e+17
7.700,     2.794581699084521e+17
7.750,     2.790530016476495e+17
7.800,     2.785980681754959e+17
7.850,     2.781442939901455e+17
7.900,     2.777218396130311e+17
7.950,     2.773235634384260e+17
8.000,     2.769833668736101e+17
8.050,     2.767616124051753e+17
8.100,     2.766340511131628e+17
8.150,     2.764992571014591e+17
8.200,     2.762277743109039e+17
8.250,     2.756753930523605e+17
8.300,     2.747547207093943e+17
8.350,     2.734766347689732e+17
8.400,     2.718829081959899e+17
8.450,     2.700705766480246e+17
8.500,     2.680916895852238e+17
8.550,     2.659981491256809e+17
8.600,     2.638525567525038e+17
8.650,     2.616876675832887e+17
8.700,     2.595265976910741e+17
8.750,     2.573751622843643e+17
8.800,     2.552477330710089e+17
8.850,     2.532082148167198e+17
8.900,     2.512994168272581e+17
8.950,     2.495633280149697e+17
9.000,     2.480994370364288e+17
9.050,     2.469012931861070e+17
9.100,     2.459151378362384e+17
9.150,     2.451750598204782e+17
9.200,     2.447442296104700e+17
9.250,     2.446795175653747e+17
9.300,     2.449922232163295e+17
9.350,     2.457094007683331e+17
9.400,     2.468413332025308e+17
9.450,     2.482719002170085e+17
9.500,     2.498766957762855e+17
9.550,     2.515653509406940e+17
9.600,     2.533399779871628e+17
9.650,     2.552917103712445e+17
9.700,     2.574987199218892e+17
9.750,     2.599557426834249e+17
9.800,     2.626053729508392e+17
9.850,     2.653719539138210e+17
9.900,     2.682052353343828e+17
9.950,     2.711061531311445e+17
10.000,     2.741407100961634e+17
10.050,     2.772045170529115e+17
10.100,     2.801769576338534e+17
10.150,     2.829810171344820e+17
10.200,     2.855892145223730e+17
10.250,     2.879926657257353e+17
10.300,     2.901804157001402e+17
10.350,     2.921750400716687e+17
10.400,     2.939979163985537e+17
10.450,     2.956650677517602e+17
10.500,     2.972011797830111e+17
10.550,     2.986237313472714e+17
10.600,     2.999420390327405e+17
10.650,     3.011505019624035e+17
10.700,     3.022109090577828e+17
10.750,     3.030740462116559e+17
10.800,     3.037070579091569e+17
10.850,     3.041144771376094e+17
10.900,     3.043093424824797e+17
10.950,     3.043133133365661e+17
11.000,     3.041497221997563e+17
11.050,     3.038466305270132e+17
11.100,     3.034293465219551e+17
11.150,     3.028985603535541e+17
11.200,     3.022504794949914e+17
11.250,     3.014848821189464e+17
11.300,     3.006083562570372e+17
11.350,     2.996238903926828e+17
11.400,     2.985728027881709e+17
11.450,     2.974694845283501e+17
