t,BToroidal_v_avg
3.290,     3.333241329211349e+17
3.300,     3.325844367923475e+17
3.310,     3.318331818742132e+17
3.320,     3.310694596953581e+17
3.330,     3.302935463317862e+17
3.340,     3.295054479554429e+17
3.350,     3.287048686455087e+17
3.360,     3.278918846337177e+17
3.370,     3.270668341153187e+17
3.380,     3.262288751948267e+17
3.390,     3.253785345587393e+17
3.400,     3.245155209852804e+17
3.410,     3.236400402981396e+17
3.420,     3.227519363240075e+17
3.430,     3.218513660806966e+17
3.440,     3.209382463368942e+17
3.450,     3.200122138894781e+17
3.460,     3.190739855222654e+17
3.470,     3.181227168760091e+17
3.480,     3.171593197709729e+17
3.490,     3.161831027172673e+17
3.500,     3.151943476960579e+17
3.510,     3.141930965319618e+17
3.520,     3.131793959875909e+17
3.530,     3.121533857202299e+17
3.540,     3.111148153959971e+17
3.550,     3.100640096816798e+17
3.560,     3.090008251773716e+17
3.570,     3.079258403201760e+17
3.580,     3.068395855074221e+17
3.590,     3.057423342839556e+17
3.600,     3.046351572941912e+17
3.610,     3.035180677159132e+17
3.620,     3.023912051428999e+17
3.630,     3.012540576827724e+17
3.640,     3.001063001031978e+17
3.650,     2.989477288253194e+17
3.660,     2.977784168618707e+17
3.670,     2.965985052567669e+17
3.680,     2.954080486866308e+17
3.690,     2.942074890481036e+17
3.700,     2.929962429597004e+17
3.710,     2.917747358738336e+17
3.720,     2.905426709804303e+17
3.730,     2.893007692747323e+17
3.740,     2.880483022180582e+17
3.750,     2.867860219507145e+17
3.760,     2.855137981146126e+17
3.770,     2.842314980969118e+17
3.780,     2.829394293108782e+17
3.790,     2.816375735687661e+17
3.800,     2.803258981587189e+17
3.810,     2.790051157170114e+17
3.820,     2.776748797808417e+17
3.830,     2.763353152793208e+17
3.840,     2.749874477659837e+17
3.850,     2.736303123948339e+17
3.860,     2.722647364343647e+17
3.870,     2.708904355595409e+17
3.880,     2.695079849284644e+17
3.890,     2.681175050131948e+17
