t,BPoloidal_v_avg
5.000,     2.037362912901513e+17
5.010,     2.035306375801586e+17
5.020,     2.033252182979292e+17
5.030,     2.031202278177177e+17
5.040,     2.029157768991166e+17
5.050,     2.027119258630114e+17
5.060,     2.025086326814674e+17
5.070,     2.023061501168029e+17
5.080,     2.021042940856163e+17
5.090,     2.019033353390187e+17
5.100,     2.017031398248784e+17
5.110,     2.015037213018504e+17
5.120,     2.013051249288308e+17
5.130,     2.011075878341518e+17
5.140,     2.009109608196957e+17
5.150,     2.007153410187489e+17
5.160,     2.005208269100817e+17
5.170,     2.003274475620611e+17
5.180,     2.001352453219447e+17
5.190,     1.999445722011302e+17
5.200,     1.997553728198595e+17
5.210,     1.995679127089001e+17
5.220,     1.993821686431660e+17
5.230,     1.991983339921082e+17
5.240,     1.990163526760748e+17
5.250,     1.988363390550570e+17
5.260,     1.986580996686313e+17
5.270,     1.984818498358816e+17
5.280,     1.983073486669971e+17
5.290,     1.981347378572162e+17
5.300,     1.979640861815122e+17
5.310,     1.977954895619066e+17
5.320,     1.976292216894144e+17
5.330,     1.974652817216065e+17
5.340,     1.973039327970814e+17
5.350,     1.971453107627451e+17
5.360,     1.969895776535210e+17
5.400,     1.964002465427058e+17
5.450,     1.957485177245081e+17
5.500,     1.952116905343791e+17
5.550,     1.948026008060716e+17
5.600,     1.945462194498235e+17
5.650,     1.944822909737932e+17
5.700,     1.946348181148125e+17
5.750,     1.950008390000073e+17
5.800,     1.955854273771650e+17
5.850,     1.963858156099161e+17
5.900,     1.973726142985610e+17
5.950,     1.985074614188499e+17
6.000,     1.997470495031826e+17
6.050,     2.010627561429932e+17
6.100,     2.024234258212103e+17
6.150,     2.037940164557908e+17
6.200,     2.051362000371644e+17
6.250,     2.063886433785678e+17
6.300,     2.074956247969780e+17
6.350,     2.084136568509571e+17
6.400,     2.091701541439637e+17
6.450,     2.098353941358868e+17
6.500,     2.104805541921912e+17
6.550,     2.111547193082030e+17
6.600,     2.118673226471979e+17
6.650,     2.125995031232174e+17
6.700,     2.133100465644285e+17
6.750,     2.139556721617401e+17
